"Assay","Comparison","n1","n2","Test","Test_Statistic","Significance"
"ELISA","1 vs 4",575,126,"Wilcoxon","69,095.5","P < 0.001"
"ELISA","1-1 vs 4-4",882,231,"Wilcoxon","183,286","P < 0.001"
"sVNT","1 vs 4",516,16,"Wilcoxon","7,578","P < 0.001"
"sVNT","1-1 vs 4-4",883,227,"Wilcoxon","192,864","P < 0.001"
"ELISA","χ² = 152.9",NA,NA,"χ²","152.9","P < 0.001"
"sVNT","1-1-1 vs 4-4-1",446,97,"Z","1.075","ns"
"sVNT","1-1-1 vs 4-4-4",446,114,"Z","12.297","P < 0.001"
"sVNT","4-4-1 vs 4-4-4",97,114,"Z","8.471","P < 0.001"
"sVNT","χ² = 143.6",NA,NA,"χ²","143.6","P < 0.001"
"sVNT","1-1-1 vs 1-1-4",687,17,"Z","2.317","ns"
"sVNT","1-1-1 vs 4-4-1",687,104,"Z","0.26","ns"
"sVNT","1-1-4 vs 4-4-1",17,104,"Z","-2.07","ns"
"sVNT","1-1-1 vs 4-4-4",687,135,"Z","11.777","P < 0.001"
"sVNT","1-1-4 vs 4-4-4",17,135,"Z","2.097","ns"
"sVNT","4-4-1 vs 4-4-4",104,135,"Z","8.288","P < 0.001"
"sVNT","χ² = 43.4",NA,NA,"χ²","43.4","P < 0.001"
"sVNT","1-1-1-1 vs 4-4-1-1",42,29,"Z","-0.657","ns"
"sVNT","1-1-1-1 vs 4-4-4-1",42,7,"Z","-1.124","ns"
"sVNT","4-4-1-1 vs 4-4-4-1",29,7,"Z","-0.713","ns"
"sVNT","1-1-1-1 vs 4-4-4-4",42,33,"Z","5.355","P < 0.001"
"sVNT","4-4-1-1 vs 4-4-4-4",29,33,"Z","5.517","P < 0.001"
"sVNT","4-4-4-1 vs 4-4-4-4",7,33,"Z","4.097","P < 0.001"
